year,round,date_local,kickoff_local,venue_stadium,venue_city,home_team,away_team,home_score,away_score,red_cards,yellow_cards,source_url
1986,Group A,1986-05-31,12:00,Estadio Azteca,Mexico City,Bulgaria,Italy,1,1,,,https://en.wikipedia.org/wiki/1986_FIFA_World_Cup_Group_A
1986,Group A,1986-06-02,12:00,Estadio Olímpico Universitario,Mexico City,Argentina,South Korea,3,1,,,https://en.wikipedia.org/wiki/1986_FIFA_World_Cup_Group_A
1986,Group A,1986-06-05,12:00,Estadio Cuauhtémoc,Puebla,Italy,Argentina,1,1,,,https://en.wikipedia.org/wiki/1986_FIFA_World_Cup_Group_A
1986,Group A,1986-06-05,16:00,Estadio Olímpico Universitario,Mexico City,South Korea,Bulgaria,1,1,,,https://en.wikipedia.org/wiki/1986_FIFA_World_Cup_Group_A
1986,Group A,1986-06-10,12:00,Estadio Cuauhtémoc,Puebla,South Korea,Italy,2,3,,,https://en.wikipedia.org/wiki/1986_FIFA_World_Cup_Group_A
1986,Group A,1986-06-10,12:00,Estadio Olímpico Universitario,Mexico City,Argentina,Bulgaria,2,0,,,https://en.wikipedia.org/wiki/1986_FIFA_World_Cup_Group_A
1986,Group B,1986-06-03,12:00,Estadio Azteca,Mexico City,Belgium,Mexico,1,2,,,https://en.wikipedia.org/wiki/1986_FIFA_World_Cup_Group_B
1986,Group B,1986-06-04,12:00,Estadio Nemesio Díez (Estadio Toluca 70–86),Toluca,Paraguay,Iraq,1,0,,,https://en.wikipedia.org/wiki/1986_FIFA_World_Cup_Group_B
1986,Group B,1986-06-07,12:00,Estadio Azteca,Mexico City,Mexico,Paraguay,1,1,,,https://en.wikipedia.org/wiki/1986_FIFA_World_Cup_Group_B
1986,Group B,1986-06-08,12:00,Estadio Nemesio Díez (Estadio Toluca 70–86),Toluca,Iraq,Belgium,1,2,,,https://en.wikipedia.org/wiki/1986_FIFA_World_Cup_Group_B
1986,Group B,1986-06-11,12:00,Estadio Nemesio Díez (Estadio Toluca 70–86),Toluca,Paraguay,Belgium,2,2,,,https://en.wikipedia.org/wiki/1986_FIFA_World_Cup_Group_B
1986,Group B,1986-06-11,12:00,Estadio Azteca,Mexico City,Iraq,Mexico,0,1,,,https://en.wikipedia.org/wiki/1986_FIFA_World_Cup_Group_B
1986,Group C,1986-06-01,16:00,Estadio Nou Camp (Estadio León),León,Canada,France,0,1,,,https://en.wikipedia.org/wiki/1986_FIFA_World_Cup_Group_C
1986,Group C,1986-06-02,12:00,Estadio Sergio León Chávez,Irapuato,Soviet Union,Hungary,6,0,,,https://en.wikipedia.org/wiki/1986_FIFA_World_Cup_Group_C
1986,Group C,1986-06-05,12:00,Estadio Nou Camp (Estadio León),León,France,Soviet Union,1,1,,,https://en.wikipedia.org/wiki/1986_FIFA_World_Cup_Group_C
1986,Group C,1986-06-06,12:00,Estadio Sergio León Chávez,Irapuato,Hungary,Canada,2,0,,,https://en.wikipedia.org/wiki/1986_FIFA_World_Cup_Group_C
1986,Group C,1986-06-09,12:00,Estadio Nou Camp (Estadio León),León,Hungary,France,0,3,,,https://en.wikipedia.org/wiki/1986_FIFA_World_Cup_Group_C
1986,Group C,1986-06-09,12:00,Estadio Sergio León Chávez,Irapuato,Soviet Union,Canada,2,0,,,https://en.wikipedia.org/wiki/1986_FIFA_World_Cup_Group_C
1986,Group D,1986-06-01,12:00,Estadio Jalisco,Guadalajara,Spain,Brazil,0,1,,,https://en.wikipedia.org/wiki/1986_FIFA_World_Cup_Group_D
1986,Group D,1986-06-03,12:00,Estadio Tres de Marzo,Zapopan,Algeria,Northern Ireland,1,1,,,https://en.wikipedia.org/wiki/1986_FIFA_World_Cup_Group_D
1986,Group D,1986-06-06,12:00,Estadio Jalisco,Guadalajara,Brazil,Algeria,1,0,,,https://en.wikipedia.org/wiki/1986_FIFA_World_Cup_Group_D
1986,Group D,1986-06-07,12:00,Estadio Tres de Marzo,Zapopan,Northern Ireland,Spain,1,2,,,https://en.wikipedia.org/wiki/1986_FIFA_World_Cup_Group_D
1986,Group D,1986-06-12,12:00,Estadio Jalisco,Guadalajara,Northern Ireland,Brazil,0,3,,,https://en.wikipedia.org/wiki/1986_FIFA_World_Cup_Group_D
1986,Group D,1986-06-12,12:00,Estadio Tecnológico,Monterrey,Algeria,Spain,0,3,,,https://en.wikipedia.org/wiki/1986_FIFA_World_Cup_Group_D
