year,host,stadium,city,country,lat,lon,timezone,utc_offset_during_cup,elevation_m,capacity,still_exists,source_url
2006,Germany,Frankenstadion (now Max-Morlock-Stadion),Nuremberg,Germany,49.42611,11.12583,Europe/Berlin,UTC+2,310.0,41000,True,https://en.wikipedia.org/wiki/Max-Morlock-Stadion
2010,South Africa,Soccer City (FNB Stadium),Johannesburg,South Africa,-26.23472,27.98222,Africa/Johannesburg,UTC+2,1753.0,84490,True,https://en.wikipedia.org/wiki/Soccer_City
2010,South Africa,Ellis Park Stadium,Johannesburg,South Africa,-26.1975,28.06083,Africa/Johannesburg,UTC+2,1750.0,55686,True,https://en.wikipedia.org/wiki/Ellis_Park_Stadium
2010,South Africa,Cape Town Stadium (Green Point),Cape Town,South Africa,-33.90333,18.41111,Africa/Johannesburg,UTC+2,5.0,64100,True,https://en.wikipedia.org/wiki/Cape_Town_Stadium
2010,South Africa,Moses Mabhida Stadium,Durban,South Africa,-29.829,31.0303,Africa/Johannesburg,UTC+2,10.0,62760,True,https://en.wikipedia.org/wiki/Moses_Mabhida_Stadium
2010,South Africa,Loftus Versfeld Stadium,Pretoria,South Africa,-25.75333,28.22278,Africa/Johannesburg,UTC+2,1350.0,42858,True,https://en.wikipedia.org/wiki/Loftus_Versfeld_Stadium
2010,South Africa,Nelson Mandela Bay Stadium,Port Elizabeth,South Africa,-33.93778,25.59889,Africa/Johannesburg,UTC+2,12.0,42486,True,https://en.wikipedia.org/wiki/Nelson_Mandela_Bay_Stadium
2010,South Africa,Royal Bafokeng Stadium,Rustenburg,South Africa,-25.5786,27.1607,Africa/Johannesburg,UTC+2,1250.0,42000,True,https://en.wikipedia.org/wiki/Royal_Bafokeng_Stadium
2010,South Africa,Peter Mokaba Stadium,Polokwane,South Africa,-23.924689,29.468765,Africa/Johannesburg,UTC+2,1310.0,41733,True,https://en.wikipedia.org/wiki/Peter_Mokaba_Stadium
2010,South Africa,Mbombela Stadium,Nelspruit,South Africa,-25.461,30.929,Africa/Johannesburg,UTC+2,679.0,40929,True,https://en.wikipedia.org/wiki/Mbombela_Stadium
2010,South Africa,Free State Stadium,Bloemfontein,South Africa,-29.11722,26.20889,Africa/Johannesburg,UTC+2,1395.0,40911,True,https://en.wikipedia.org/wiki/Free_State_Stadium
2014,Brazil,Estádio do Maracanã,Rio de Janeiro,Brazil,-22.912167,-43.230164,America/Sao_Paulo,UTC-3,9.0,74738,,https://en.wikipedia.org/wiki/Maracan%C3%A3_Stadium
2014,Brazil,Estádio Nacional Mané Garrincha,Brasília,Brazil,-15.783611,-47.899167,America/Sao_Paulo,UTC-3,1100.0,69432,,https://en.wikipedia.org/wiki/Est%C3%A1dio_Nacional_Man%C3%A9_Garrincha
2014,Brazil,Arena Corinthians (Arena de São Paulo),São Paulo,Brazil,-23.545278,-46.474167,America/Sao_Paulo,UTC-3,770.0,63321,,https://en.wikipedia.org/wiki/Neo_Qu%C3%ADmica_Arena
2014,Brazil,Estádio Castelão,Fortaleza,Brazil,-3.807222,-38.5225,America/Fortaleza,UTC-3,20.0,60348,,https://en.wikipedia.org/wiki/Castel%C3%A3o_(Cear%C3%A1)
2014,Brazil,Estádio Mineirão,Belo Horizonte,Brazil,-19.865833,-43.970833,America/Sao_Paulo,UTC-3,800.0,58259,,https://en.wikipedia.org/wiki/Mineir%C3%A3o
2014,Brazil,Arena Fonte Nova (Itaipava Arena Fonte Nova),Salvador,Brazil,-12.978611,-38.504167,America/Bahia,UTC-3,8.0,51708,,https://en.wikipedia.org/wiki/Arena_Fonte_Nova
2014,Brazil,Estádio Beira-Rio,Porto Alegre,Brazil,-30.065556,-51.236111,America/Sao_Paulo,UTC-3,8.0,43394,,https://en.wikipedia.org/wiki/Est%C3%A1dio_Beira-Rio
2014,Brazil,Arena Pernambuco (Itaipava Arena Pernambuco),Recife (São Lourenço da Mata),Brazil,-8.040556,-35.008333,America/Recife,UTC-3,40.0,42583,,https://en.wikipedia.org/wiki/Arena_Pernambuco
2014,Brazil,Arena Pantanal,Cuiabá,Brazil,-15.603889,-56.121667,America/Cuiaba,UTC-4,180.0,41112,,https://pt.wikipedia.org/wiki/Arena_Pantanal
2014,Brazil,Arena da Amazônia,Manaus,Brazil,-3.083056,-60.028056,America/Manaus,UTC-4,40.0,40549,,https://en.wikipedia.org/wiki/Arena_da_Amaz%C3%B4nia
2014,Brazil,Arena das Dunas,Natal,Brazil,-5.8269,-35.2124,America/Fortaleza,UTC-3,40.0,39971,,https://en.wikipedia.org/wiki/Arena_das_Dunas
2014,Brazil,Arena da Baixada (Estádio Joaquim Américo Guimarães),Curitiba,Brazil,-25.448333,-49.276944,America/Sao_Paulo,UTC-3,910.0,39631,,https://en.wikipedia.org/wiki/Arena_da_Baixada
2018,Russia,Luzhniki Stadium,Moscow,Russia,55.71583,37.55361,Europe/Moscow,UTC+3,,78011,,https://en.wikipedia.org/wiki/Luzhniki_Stadium
2018,Russia,Otkritie Arena,Moscow,Russia,55.81786,37.44025,Europe/Moscow,UTC+3,,44190,,https://en.wikipedia.org/wiki/Otkritie_Arena
2018,Russia,Saint Petersburg Stadium,Saint Petersburg,Russia,59.973,30.2205,Europe/Moscow,UTC+3,,64468,,https://en.wikipedia.org/wiki/Krestovsky_Stadium
2018,Russia,Fisht Olympic Stadium,Sochi,Russia,43.40227,39.95611,Europe/Moscow,UTC+3,,44287,,https://en.wikipedia.org/wiki/Fisht_Olympic_Stadium
2018,Russia,Kaliningrad Stadium,Kaliningrad,Russia,54.69806,20.53389,Europe/Kaliningrad,UTC+2,,33973,,https://en.wikipedia.org/wiki/Kaliningrad_Stadium
2018,Russia,Kazan Arena,Kazan,Russia,55.82111,49.16083,Europe/Moscow,UTC+3,,42873,,https://en.wikipedia.org/wiki/Kazan_Arena
2018,Russia,Nizhny Novgorod Stadium,Nizhny Novgorod,Russia,56.3375,43.96333,Europe/Moscow,UTC+3,,43319,,https://en.wikipedia.org/wiki/Nizhny_Novgorod_Stadium
2018,Russia,Samara Arena,Samara,Russia,53.27778,50.23722,Europe/Samara,UTC+4,,41970,,https://en.wikipedia.org/wiki/Samara_Arena
2018,Russia,Mordovia Arena,Saransk,Russia,54.18278,45.20139,Europe/Moscow,UTC+3,,41685,,https://en.wikipedia.org/wiki/Mordovia_Arena
2018,Russia,Rostov Arena,Rostov-on-Don,Russia,47.20944,39.73778,Europe/Moscow,UTC+3,,43472,,https://en.wikipedia.org/wiki/Rostov_Arena
2018,Russia,Volgograd Arena,Volgograd,Russia,48.73444,44.54861,Europe/Volgograd,UTC+3,,43713,,https://en.wikipedia.org/wiki/Volgograd_Arena
2018,Russia,Yekaterinburg Arena,Yekaterinburg,Russia,56.8325,60.57361,Asia/Yekaterinburg,UTC+5,,35696,,https://en.wikipedia.org/wiki/Central_Stadium_(Yekaterinburg)
2022,Qatar,Al Bayt Stadium,Al Khor,Qatar,25.65222,51.48778,Asia/Qatar,UTC+3,4.0,68895,,https://en.wikipedia.org/wiki/Al_Bayt_Stadium
2022,Qatar,Lusail Stadium,Lusail,Qatar,25.42086,51.49039,Asia/Qatar,UTC+3,10.0,88966,,https://en.wikipedia.org/wiki/Lusail_Stadium
2022,Qatar,Ahmad bin Ali Stadium,Al Rayyan,Qatar,25.32964,51.342273,Asia/Qatar,UTC+3,37.0,45032,,https://en.wikipedia.org/wiki/Ahmad_bin_Ali_Stadium
2022,Qatar,Education City Stadium,Al Rayyan,Qatar,25.3108,51.4244,Asia/Qatar,UTC+3,19.0,44667,,https://en.wikipedia.org/wiki/Education_City_Stadium
2022,Qatar,Khalifa International Stadium,Al Rayyan,Qatar,25.26361,51.44806,Asia/Qatar,UTC+3,26.0,45857,,https://en.wikipedia.org/wiki/Khalifa_International_Stadium
2022,Qatar,Al Thumama Stadium,Doha,Qatar,25.235278,51.532182,Asia/Qatar,UTC+3,17.0,44400,,https://en.wikipedia.org/wiki/Al_Thumama_Stadium
2022,Qatar,Stadium 974,Doha,Qatar,25.29,51.565,Asia/Qatar,UTC+3,5.0,44089,,https://en.wikipedia.org/wiki/Stadium_974
2022,Qatar,Al Janoub Stadium,Al Wakrah,Qatar,25.15972,51.57417,Asia/Qatar,UTC+3,15.0,44325,,https://en.wikipedia.org/wiki/Al_Janoub_Stadium
